@relation bugset1

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
53,5,3,5,174,982.03,0.08,12,81.84,11784.37,0.33,654.69,49,0,2,15,35,118,56,8,false
32,5,1,4,95,446.54,0.06,18,24.81,8037.75,0.15,446.54,24,3,3,13,13,59,36,9,true
13,2,1,2,47,220.92,0.15,6.56,33.66,1449.79,0.07,80.54,11,0,0,10,16,26,21,3,false
32,3,1,3,115,620.12,0.11,9.4,65.97,5829.1,0.21,323.84,20,0,3,12,30,68,47,5,false
10,2,1,1,20,78.14,0.19,5.25,14.88,410.22,0.03,22.79,7,0,1,9,6,13,7,3,false
65,7,7,6,143,755.81,0.05,18.93,39.92,14308.91,0.25,794.94,48,10,4,17,22,94,49,13,false
55,8,1,7,137,718.97,0.04,22.26,32.29,16005.55,0.24,889.2,31,4,11,17,21,82,55,15,false
96,7,5,6,250,1438.72,0.03,35.64,40.37,51270.82,0.48,2848.38,72,8,6,21,33,138,112,12,false
53,8,3,5,165,921.52,0.03,31,29.73,28567.08,0.31,1587.06,34,9,8,24,24,103,62,15,false
13,3,1,2,66,313.82,0.07,13.93,22.53,4371.1,0.1,242.84,4,19,13,13,14,36,30,5,false
6,1,1,1,19,72.34,0.25,4,18.08,289.36,0.02,16.07,3,0,1,7,7,11,8,1,false
42,2,1,2,88,435.97,0.14,6.96,62.67,3032.83,0.15,168.49,26,8,6,8,23,48,40,3,false
20,3,1,3,75,393.59,0.14,7.13,55.21,2806.18,0.13,155.9,17,0,1,11,27,40,35,5,false
32,3,1,3,90,432.66,0.07,14.63,29.58,6327.68,0.14,351.54,26,2,2,12,16,51,39,5,false
253,32,7,27,648,4411.17,0.02,55.23,79.87,243616.67,1.47,13534.26,166,45,32,35,77,405,243,58,true
56,3,1,2,381,2202.7,0.03,35.36,62.29,77889.85,0.73,4327.21,39,8,7,19,36,247,134,5,true
8,1,1,1,14,46.51,0.27,3.75,12.4,174.4,0.02,9.69,5,0,1,6,4,9,5,1,false
725,173,90,65,2869,22597.73,0.01,112.1,201.58,2533263.14,7.53,140736.84,622,30,53,40,195,1776,1093,338,true
97,8,1,8,318,1922.12,0.05,19.92,96.48,38294.49,0.64,2127.47,70,11,12,14,52,170,148,15,false
24,4,3,2,68,326.9,0.06,16,20.43,5230.4,0.11,290.58,16,1,4,16,12,44,24,7,false
56,6,5,2,169,943.86,0.03,32.2,29.31,30392.25,0.31,1688.46,40,5,8,23,25,99,70,11,true
24,5,5,2,73,361.66,0.08,12.8,28.25,4629.2,0.12,257.18,14,0,3,16,15,49,24,9,false
34,3,1,3,116,617.34,0.06,16.36,37.73,10101.99,0.21,561.22,28,0,4,18,22,76,40,5,true
4,1,1,1,3,4.75,1,1,4.75,4.75,0,0.26,2,0,0,2,1,2,1,1,false
14,3,1,2,21,82.04,0.22,4.5,18.23,369.2,0.03,20.51,8,1,3,9,6,15,6,5,false
6,1,1,1,9,27,0.5,2,13.5,54,0.01,3,2,0,1,4,4,5,4,1,false
5,1,1,1,31,133.98,0.21,4.67,28.71,625.24,0.04,34.74,3,0,0,8,12,17,14,1,false
31,7,1,1,62,310,0.09,11.5,26.96,3565,0.1,198.06,28,0,1,16,16,39,23,9,false
15,3,1,2,46,213.62,0.07,13.36,15.98,2854.71,0.07,158.59,10,0,3,14,11,25,21,5,false
59,4,1,4,110,581.39,0.07,14.69,39.58,8539.23,0.19,474.4,37,11,9,15,24,63,47,7,true
43,4,3,2,144,771.49,0.06,16.07,48,12400.95,0.26,688.94,33,0,8,14,27,82,62,7,false
17,2,1,2,64,317.07,0.1,10.29,30.8,3263.94,0.11,181.33,10,1,4,14,17,39,25,3,false
106,9,4,6,349,2230.92,0.04,28.09,79.42,62666.87,0.74,3481.49,78,9,17,23,61,200,149,17,true
28,9,7,5,67,314.93,0.07,15,21,4723.94,0.1,262.44,24,0,2,13,13,37,30,17,false
17,2,1,2,53,236.35,0.13,7.92,29.85,1871.1,0.08,103.95,14,0,0,10,12,34,19,3,false
20,3,1,3,99,503.66,0.06,16.5,30.52,8310.37,0.17,461.69,12,0,5,17,17,66,33,5,false
6,1,1,1,4,8,0.67,1.5,5.33,12,0,0.67,3,0,0,3,1,3,1,1,false
19,4,1,4,134,731.56,0.05,18.29,40.01,13377.17,0.24,743.18,3,0,4,16,28,70,64,7,false
46,3,1,2,79,387.64,0.1,10.42,37.2,4039.66,0.13,224.43,24,12,7,11,13,47,29,5,true
53,5,3,5,174,982.03,0.08,12,81.84,11784.37,0.33,654.69,49,0,2,15,35,118,56,8,false
32,5,1,4,95,446.54,0.06,18,24.81,8037.75,0.15,446.54,24,3,3,13,13,59,36,9,true
13,2,1,2,47,220.92,0.15,6.56,33.66,1449.79,0.07,80.54,11,0,0,10,16,26,21,3,false
32,3,1,3,115,620.12,0.11,9.4,65.97,5829.1,0.21,323.84,20,0,3,12,30,68,47,5,false
10,2,1,1,20,78.14,0.19,5.25,14.88,410.22,0.03,22.79,7,0,1,9,6,13,7,3,false
65,7,7,6,143,755.81,0.05,18.93,39.92,14308.91,0.25,794.94,48,10,4,17,22,94,49,13,false
55,8,1,7,137,718.97,0.04,22.26,32.29,16005.55,0.24,889.2,31,4,11,17,21,82,55,15,false
96,7,5,6,250,1438.72,0.03,35.64,40.37,51270.82,0.48,2848.38,72,8,6,21,33,138,112,12,false
53,8,3,5,165,921.52,0.03,31,29.73,28567.08,0.31,1587.06,34,9,8,24,24,103,62,15,false
13,3,1,2,66,313.82,0.07,13.93,22.53,4371.1,0.1,242.84,4,19,13,13,14,36,30,5,false
6,1,1,1,19,72.34,0.25,4,18.08,289.36,0.02,16.07,3,0,1,7,7,11,8,1,false
26,4,4,1,42,178.41,0.09,11.69,15.27,2085.19,0.06,115.84,17,5,4,11,8,25,17,7,false
20,8,8,2,75,352.53,0.04,22.67,15.55,7990.75,0.12,443.93,15,0,3,17,9,58,24,15,true
7,1,1,1,14,44.38,0.4,2.5,17.75,110.95,0.01,6.16,5,0,0,5,4,10,4,1,true
66,8,1,5,190,1043.45,0.03,28.8,36.23,30051.42,0.35,1669.52,46,9,9,20,25,118,72,13,false
10,1,1,1,31,126.71,0.18,5.63,22.53,712.75,0.04,39.6,5,0,3,9,8,21,10,1,false
233,32,8,15,890,6058.55,0.02,58.45,103.66,354104.19,2.02,19672.45,200,11,19,27,85,522,368,63,false
24,9,6,2,95,470.65,0.03,35.7,13.18,16802.16,0.16,933.45,20,0,2,21,10,61,34,17,false
53,3,1,2,165,916.51,0.08,12.69,72.25,11626.55,0.31,645.92,44,1,6,12,35,91,74,5,false
15,4,3,1,31,131.69,0.12,8.57,15.36,1128.74,0.04,62.71,10,0,3,12,7,21,10,7,false
48,3,1,1,101,485.54,0.13,7.83,61.98,3803.42,0.16,211.3,32,8,6,7,21,54,47,5,false
181,21,4,7,592,3511,0.01,69.3,50.66,243321.3,1.17,13517.85,158,1,20,23,38,381,229,41,true
40,5,1,5,125,674.04,0.05,19.88,33.91,13396.54,0.22,744.25,28,0,10,18,24,72,53,9,true
51,13,8,13,138,713.45,0.05,20.13,35.44,14362.87,0.24,797.94,44,3,2,17,19,93,45,25,false
11,2,1,2,23,85.11,0.16,6.42,13.26,546.12,0.03,30.34,8,0,1,7,6,12,11,3,false
27,3,1,3,74,339.29,0.1,9.6,35.34,3257.16,0.11,180.95,20,0,5,9,15,42,32,5,false
31,5,5,2,89,448.95,0.08,12.53,35.84,5623.7,0.15,312.43,24,2,2,14,19,55,34,9,false
113,40,33,36,450,2739.36,0.04,27.85,98.37,76280.59,0.91,4237.81,96,4,11,16,52,269,181,79,false
17,2,1,2,78,342.6,0.08,12,28.55,4111.21,0.11,228.4,13,0,2,9,12,46,32,3,false
8,2,1,2,17,58.81,0.19,5.25,11.2,308.75,0.02,17.15,6,0,0,7,4,11,6,3,false
17,2,1,1,33,144.95,0.11,9.33,15.53,1352.83,0.05,75.16,7,3,4,12,9,19,14,3,false
13,1,1,1,43,175.76,0.12,8.44,20.83,1482.98,0.06,82.39,10,0,1,9,8,28,15,1,false
9,1,1,1,15,53.77,0.24,4.2,12.8,225.85,0.02,12.55,5,0,2,7,5,9,6,1,false
38,11,9,6,134,713.14,0.04,26,27.43,18541.6,0.24,1030.08,33,0,3,20,20,82,52,21,false
132,6,1,6,173,971.34,0.05,18.59,52.24,18060.94,0.32,1003.39,52,23,51,17,32,103,70,9,true
23,1,1,1,67,303.08,0.12,8.46,35.82,2564.51,0.1,142.47,13,1,5,10,13,45,22,1,false
15,3,1,2,35,145.95,0.11,8.75,16.68,1277.04,0.05,70.95,11,0,1,10,8,21,14,5,false
31,6,6,3,92,482.81,0.04,25.44,18.98,12281.46,0.16,682.3,27,0,2,22,16,55,37,11,false
5,1,1,1,15,53.77,0.4,2.5,21.51,134.44,0.02,7.47,3,0,0,5,7,8,7,1,false
24,4,3,3,107,587.63,0.05,19.13,30.72,11241.58,0.2,624.53,1,7,4,22,23,67,40,7,true
40,5,1,5,99,503.66,0.07,15.05,33.47,7580.07,0.17,421.11,33,1,4,14,20,56,43,9,false
18,3,3,1,42,189.99,0.08,12.44,15.27,2364.32,0.06,131.35,11,0,3,14,9,26,16,5,false
14,1,1,1,42,171.67,0.1,10,17.17,1716.73,0.06,95.37,8,0,3,10,7,28,14,1,false
36,2,1,2,86,448.01,0.08,13.33,33.6,5973.51,0.15,331.86,24,1,9,16,21,51,35,3,true
235,17,4,14,701,4807.44,0.03,35.37,135.94,170018.12,1.6,9445.45,168,26,36,23,93,415,286,33,true
225,43,1,35,737,4807.87,0.01,76.45,62.89,367569.05,1.6,20420.5,191,8,14,30,62,421,316,77,false
24,3,1,3,62,310,0.13,7.87,39.4,2439.21,0.1,135.51,19,0,3,13,19,39,23,5,false
15,34,25,10,1312,7119.26,0.01,141.95,50.15,1010595.82,2.37,56144.21,12,0,1,22,21,1041,271,67,true
25,4,1,4,77,361.93,0.09,11.73,30.85,4246.69,0.12,235.93,20,0,0,11,15,45,32,7,false
7,1,1,1,10,30,0.3,3.33,9,100,0.01,5.56,4,0,0,5,3,6,4,1,false
41,3,3,3,119,668.15,0.13,7.96,83.93,5318.83,0.22,295.49,32,1,5,11,38,64,55,5,false
86,46,46,18,609,3745.2,0.02,50.51,74.15,189170.61,1.25,10509.48,61,8,6,22,49,384,225,91,true
6,1,1,1,18,66.61,0.18,5.6,11.89,373,0.02,20.72,4,0,0,8,5,11,7,1,false
43,6,1,6,156,884.9,0.11,9.23,95.86,8168.29,0.29,453.79,31,0,9,12,39,96,60,11,true
19,4,1,3,55,248.8,0.08,12.38,20.1,3078.85,0.08,171.05,14,0,3,11,12,28,27,7,false
16,2,1,2,33,137.61,0.12,8.64,15.92,1189.32,0.05,66.07,10,0,3,11,7,22,11,3,false
23,2,1,2,57,282.39,0.14,7.15,39.49,2019.08,0.09,112.17,22,0,1,11,20,31,26,3,true
8,2,1,1,21,85.84,0.14,7.33,11.71,629.47,0.03,34.97,5,0,1,11,6,13,8,3,false
85,24,23,20,261,1473.05,0.03,30.65,48.07,45141.75,0.49,2507.87,59,18,6,19,31,161,100,47,true
2,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,0,0,0,4,1,4,1,1,true
33,5,1,1,83,435.58,0.11,9.33,46.67,4065.39,0.15,225.86,20,4,5,14,24,51,32,9,false
23,1,1,1,65,301.85,0.08,12.18,24.79,3676.11,0.1,204.23,16,0,5,11,14,34,31,1,false
84,18,16,2,267,1499.13,0.02,43.19,34.71,64740.1,0.5,3596.67,62,11,7,22,27,161,106,35,false
16,1,1,1,38,176.47,0.22,4.47,39.47,788.91,0.06,43.83,12,1,2,8,17,19,19,1,true
5,1,1,1,11,36.54,0.33,3,12.18,109.62,0.01,6.09,2,0,0,6,4,7,4,1,false
18,2,1,2,41,180.09,0.09,10.56,17.05,1902.15,0.06,105.67,11,0,5,13,8,28,13,3,true
14,2,1,2,31,129.27,0.19,5.2,24.86,672.19,0.04,37.34,8,1,3,8,10,18,13,3,true
17,2,1,2,34,141.78,0.15,6.5,21.81,921.55,0.05,51.2,8,3,2,9,9,21,13,3,false
25,7,7,2,76,372.92,0.05,21.75,17.15,8111.09,0.12,450.62,20,0,2,18,12,47,29,13,false
14,2,1,2,29,123.19,0.17,5.85,21.06,720.66,0.04,40.04,12,0,2,9,10,16,13,3,false
46,9,1,3,132,707.2,0.03,32.47,21.78,22963.1,0.24,1275.73,32,3,9,24,17,86,46,17,false
12,1,1,1,23,87.57,0.16,6.25,14.01,547.31,0.03,30.41,6,0,2,10,4,18,5,1,false
15,2,1,2,49,196,0.08,12.86,15.24,2520,0.07,140,12,0,1,9,7,29,20,3,true
43,4,3,3,150,792.81,0.05,21.57,36.76,17097.13,0.26,949.84,27,6,8,16,23,88,62,7,false
80,9,8,5,200,1091.89,0.05,20.3,53.79,22165.29,0.36,1231.41,51,13,11,14,30,113,87,17,true
14,2,1,2,20,71.7,0.35,2.86,25.09,204.86,0.02,11.38,0,0,2,5,7,12,8,3,false
105,11,1,7,352,2212.46,0.03,36.08,61.31,79836.47,0.74,4435.36,91,0,9,25,53,199,153,20,false
32,5,3,3,97,480.56,0.05,18.82,25.53,9044.77,0.16,502.49,27,0,3,17,14,66,31,9,false
31,6,1,2,76,357.23,0.05,20.45,17.46,7307.05,0.12,405.95,13,4,7,15,11,46,30,11,true
9,1,1,1,6,15.51,0.5,2,7.75,31.02,0.01,1.72,5,0,2,4,2,4,2,1,true
8,1,1,1,13,39,0.56,1.8,21.67,70.2,0.01,3.9,4,1,1,3,5,7,6,1,false
68,9,7,5,187,981.36,0.02,53.14,18.47,52152.4,0.33,2897.36,52,5,9,24,14,125,62,17,true
30,9,8,4,93,401.94,0.03,32.5,12.37,13063.03,0.13,725.72,24,0,1,13,7,58,35,17,false
14,3,1,1,81,385.15,0.08,12.72,30.28,4898.57,0.13,272.14,9,0,3,11,16,44,37,5,false
46,9,6,7,132,707.2,0.07,13.48,52.46,9534.06,0.24,529.67,39,3,2,14,27,80,52,17,false
8,1,1,1,22,81.41,0.15,6.75,12.06,549.52,0.03,30.53,5,0,1,9,4,16,6,1,false
43,4,3,4,93,437.14,0.09,11.56,37.81,5054.44,0.15,280.8,30,1,9,10,16,56,37,7,false
62,1,1,1,155,900.14,0.09,11.03,81.57,9932.94,0.3,551.83,35,13,12,13,43,82,73,1,true
21,3,1,3,27,112.59,0.18,5.5,20.47,619.23,0.04,34.4,11,6,2,9,9,16,11,5,false
164,6,1,6,755,4530,0.03,39.51,114.66,178979.41,1.51,9943.3,159,0,3,13,51,445,310,11,false
11,3,1,3,26,93.21,0.16,6.3,14.8,587.22,0.03,32.61,8,0,1,7,5,17,9,5,false
20,7,7,5,88,403.48,0.02,40.07,10.07,16167.89,0.13,898.22,14,3,1,17,7,55,33,13,false
16,3,1,2,52,238.42,0.05,18.21,13.09,4342.61,0.08,241.26,11,0,3,17,7,37,15,5,false
11,2,1,2,54,262.33,0.11,8.82,29.73,2314.69,0.09,128.59,8,0,1,12,17,29,25,3,false
108,1,1,1,468,2848.93,0.04,22.71,125.42,64711.47,0.95,3595.08,85,9,12,12,56,256,212,1,false
7,2,1,2,15,53.77,0.18,5.6,9.6,301.14,0.02,16.73,4,0,1,7,5,7,8,3,false
57,9,1,9,112,596.06,0.14,6.97,85.55,4153.16,0.2,230.73,44,9,2,9,31,64,48,17,false
7,1,1,1,19,70.31,0.21,4.67,15.07,328.11,0.02,18.23,3,0,2,7,6,11,8,1,true
12,3,1,3,34,153.8,0.13,7.64,20.14,1174.48,0.05,65.25,10,0,0,12,11,20,14,5,true
22,2,1,1,75,381.56,0.13,7.41,51.47,2828.52,0.13,157.14,15,0,4,11,23,44,31,3,false
12,2,1,2,18,64.53,0.17,6,10.75,387.18,0.02,21.51,8,0,1,8,4,12,6,3,false
51,6,1,2,82,430.33,0.07,13.95,30.85,6003.1,0.14,333.51,40,0,9,18,20,51,31,7,false
10,5,5,5,62,301.19,0.06,16.29,18.49,4906.97,0.1,272.61,7,0,1,17,12,39,23,9,false
107,9,7,7,178,1051.43,0.05,19.65,53.5,20664.58,0.35,1148.03,70,11,20,21,39,105,73,17,true
23,4,1,4,51,227.43,0.13,7.96,28.57,1810.7,0.08,100.59,13,0,8,9,13,28,23,7,false
17,2,1,2,52,241.48,0.15,6.75,35.77,1629.99,0.08,90.56,14,0,1,9,16,28,24,3,false
24,4,1,3,61,283.28,0.06,15.75,17.99,4461.58,0.09,247.87,22,0,0,15,10,40,21,7,false
15,3,1,3,31,121.11,0.13,7.43,16.3,899.7,0.04,49.98,10,3,0,8,7,18,13,5,false
19,2,1,2,60,300,0.11,9.5,31.58,2850,0.1,158.33,0,6,0,16,16,41,19,3,false
8,2,1,1,26,104,0.12,8.33,12.48,866.67,0.03,48.15,4,0,1,10,6,16,10,3,true
30,2,1,2,68,326.9,0.13,7.58,43.13,2477.56,0.11,137.64,18,6,4,9,19,36,32,3,false
20,2,1,2,77,377.83,0.07,14.44,26.17,5454.93,0.13,303.05,18,0,2,14,16,44,33,3,false
75,17,9,11,471,3235.94,0.03,38.3,84.48,123948.13,1.08,6886.01,25,15,77,33,84,276,195,33,false
40,4,1,3,137,743.4,0.06,15.41,48.25,11453.84,0.25,636.32,33,0,5,16,27,85,52,7,true
65,9,7,5,184,992.19,0.03,31.5,31.5,31253.87,0.33,1736.33,56,2,5,18,24,100,84,17,true
22,3,1,2,73,325.54,0.06,16.2,20.09,5273.72,0.11,292.98,16,1,1,12,10,46,27,5,true
9,2,1,1,17,58.81,0.15,6.67,8.82,392.07,0.02,21.78,7,0,0,8,3,12,5,3,false
54,7,4,5,137,738.75,0.04,24.37,30.31,18002.96,0.25,1000.16,44,1,4,19,23,78,59,13,false
8,1,1,1,13,43.19,0.5,2,21.59,86.37,0.01,4.8,2,0,0,9,9,20,13,1,false
76,14,1,8,213,1202.14,0.02,42.79,28.09,51441.63,0.4,2857.87,58,0,16,26,24,134,79,23,false
169,21,1,13,534,3413.5,0.02,50.5,67.59,172381.62,1.14,9576.76,139,2,24,28,56,332,202,37,true
89,17,14,10,340,2062.46,0.03,28.99,71.15,59789.22,0.69,3321.62,70,7,10,21,46,213,127,33,false
221,19,16,14,948,6489.52,0.02,65.2,99.53,423109.63,2.16,23506.09,120,42,31,27,88,523,425,35,false
10,1,1,1,19,74.23,0.22,4.57,16.23,339.34,0.02,18.85,5,0,3,8,7,11,8,1,false
31,4,1,1,87,387.97,0.04,23.63,16.42,9165.8,0.13,509.21,21,1,3,14,8,60,27,7,false
15,3,1,1,67,314.93,0.15,6.89,45.72,2169.51,0.1,120.53,11,0,2,8,18,36,31,5,false
59,12,1,12,156,806.51,0.07,14.96,53.91,12065.36,0.27,670.3,53,0,2,11,25,88,68,23,false
23,5,1,1,37,144.55,0.25,4,36.14,578.22,0.05,32.11,17,4,0,5,10,21,16,9,false
26,5,1,3,60,288.44,0.06,17.33,16.64,4999.65,0.1,277.76,20,0,1,16,12,34,26,9,false
24,7,1,3,45,203.56,0.08,12.35,16.48,2513.97,0.07,139.66,19,0,3,13,10,26,19,13,false
150,27,22,18,438,2799.84,0.02,46.67,60,130658.97,0.93,7258.83,113,6,24,30,54,270,168,53,true
18,1,1,1,36,147.15,0.1,10,14.71,1471.49,0.05,81.75,9,2,5,10,7,22,14,1,false
40,10,9,9,124,680.99,0.04,22.75,29.93,15492.52,0.23,860.7,34,0,2,21,24,72,52,19,false
2,1,1,1,20,78.14,0.29,3.5,22.33,273.48,0.03,15.19,0,0,0,7,8,12,8,1,false
72,11,7,9,154,850.63,0.04,26.13,32.56,22222.67,0.28,1234.59,60,2,5,22,24,97,57,21,true
9,2,1,2,24,93.77,0.19,5.14,18.23,482.22,0.03,26.79,7,0,0,8,7,15,9,3,false
139,7,1,4,743,4538.63,0.01,74.5,60.92,338128.21,1.51,18784.9,101,9,22,23,46,445,298,13,false
18,4,1,2,41,180.09,0.14,7.33,24.56,1320.62,0.06,73.37,16,0,0,12,9,30,11,5,false
34,16,16,2,134,670,0.04,28.5,23.51,19095,0.22,1060.83,29,0,3,19,13,96,39,31,true
17,2,1,2,44,206.82,0.13,7.7,26.86,1592.51,0.07,88.47,11,0,3,11,15,23,21,3,false
9,2,1,1,27,110.36,0.12,8.25,13.38,910.48,0.04,50.58,3,3,1,11,6,18,9,3,false
88,15,1,14,255,1446.47,0.04,23.54,61.44,34054,0.48,1891.89,78,0,6,16,35,152,103,29,false
49,6,3,5,137,760.98,0.04,23.76,32.03,18080.85,0.25,1004.49,38,0,9,22,25,83,54,11,true
14,3,3,3,40,169.92,0.11,8.94,19.01,1518.63,0.06,84.37,10,0,1,11,8,27,13,5,true
72,11,4,7,152,773.29,0.04,23.8,32.49,18404.41,0.26,1022.47,57,6,7,14,20,84,68,21,false
50,4,3,3,143,761.04,0.07,13.5,56.37,10273.98,0.25,570.78,43,0,5,12,28,80,63,7,false
194,28,15,14,520,3439.65,0.03,39.9,86.2,137251.55,1.15,7625.09,134,23,30,26,72,299,221,55,true
93,17,7,6,407,2692.19,0.02,48.06,56.02,129374.54,0.9,7187.47,13,55,24,35,63,234,173,33,false
18,4,3,2,39,162.63,0.06,18,9.03,2927.29,0.05,162.63,13,0,3,12,6,21,18,7,false
7,1,1,1,21,63,0.25,4,15.75,252,0.02,14,5,0,0,4,4,13,8,1,false
40,6,4,4,124,659.92,0.06,16.5,40,10888.66,0.22,604.93,30,3,4,15,25,69,55,11,false
198,23,15,11,703,4812.38,0.02,49.53,97.16,238361.32,1.6,13242.3,124,37,27,34,81,467,236,42,true
56,10,8,7,215,1187.57,0.03,38.08,31.19,45218.85,0.4,2512.16,47,1,3,20,26,116,99,19,false
24,3,1,3,100,485.8,0.08,11.84,41.02,5752.87,0.16,319.6,21,0,1,10,19,55,45,5,false
78,1,1,1,274,1667.96,0.11,8.87,188.12,14789.29,0.56,821.63,62,0,12,8,60,141,133,1,false
19,4,1,4,60,250.2,0.06,15.63,16.01,3909.3,0.08,217.18,15,0,2,10,8,35,25,7,false
20,4,1,1,48,200.16,0.06,18.07,11.08,3617.11,0.07,200.95,13,2,3,11,7,25,23,7,false
37,6,1,4,104,524.62,0.04,23.75,22.09,12459.65,0.17,692.2,29,0,4,19,14,69,35,11,false
17,5,3,3,48,230.75,0.05,18.9,12.21,4361.23,0.08,242.29,12,0,3,18,10,27,21,9,true
6,1,1,1,11,36.54,0.33,3,12.18,109.62,0.01,6.09,2,0,1,6,4,7,4,1,true
21,4,4,1,57,274.02,0.05,18.55,14.78,5081.81,0.09,282.32,13,1,5,17,11,33,24,7,false
19,3,1,2,34,146.95,0.13,7.5,19.59,1102.09,0.05,61.23,13,0,4,12,8,24,10,5,true
16,2,1,2,37,159.91,0.15,6.55,24.43,1046.69,0.05,58.15,9,1,3,9,11,21,16,3,false
26,3,1,3,68,303.24,0.04,22.75,13.33,6898.74,0.1,383.26,21,2,1,14,8,42,26,5,false
8,1,1,1,15,53.77,0.24,4.2,12.8,225.85,0.02,12.55,4,0,2,7,5,9,6,1,true
20,3,1,3,35,156.08,0.12,8.67,18.01,1352.69,0.05,75.15,13,1,2,13,9,23,12,5,false
20,5,1,1,56,263.22,0.07,14,18.8,3685.14,0.09,204.73,11,2,5,14,12,32,24,9,false
26,5,1,3,89,470.4,0.06,15.43,30.49,7257.61,0.16,403.2,22,0,2,18,21,53,36,9,false
5,1,1,1,17,56.47,0.38,2.67,21.18,150.59,0.02,8.37,3,0,0,4,6,9,8,1,false
14,2,1,1,55,252.17,0.08,12.6,20.01,3177.38,0.08,176.52,9,0,3,14,10,37,18,3,false
114,26,20,1,234,1253.67,0.03,38,32.99,47639.35,0.42,2646.63,84,24,3,19,22,146,88,51,false
17,2,1,2,35,145.95,0.13,7.5,19.46,1094.61,0.05,60.81,14,0,0,10,8,23,12,3,false
83,6,1,5,253,1482.07,0.03,28.99,51.13,42961.01,0.49,2386.72,62,0,19,19,39,134,119,11,false
15,2,1,2,56,263.22,0.11,9.43,27.92,2481.83,0.09,137.88,11,1,1,12,14,34,22,3,false
37,4,1,4,126,599.12,0.06,17.19,34.86,10297.3,0.2,572.07,28,1,6,11,16,76,50,7,true
19,3,3,2,58,284.6,0.11,9.19,30.98,2614.76,0.09,145.26,11,1,3,14,16,37,21,5,false
