@relation bugset2

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
23,2,1,2,53,246.12,0.12,8.64,28.48,2127.22,0.08,118.18,17,0,2,11,14,31,22,3,false
106,12,5,9,288,1759.26,0.03,34.94,50.35,61473.97,0.59,3415.22,76,17,10,25,44,165,123,22,true
14,3,1,3,32,140.55,0.2,5,28.11,702.77,0.05,39.04,9,1,2,10,11,21,11,5,false
28,3,1,3,76,361.37,0.04,24.73,14.61,8935.73,0.12,496.43,17,1,6,16,11,42,34,5,false
37,5,3,1,84,427.35,0.08,12.95,33,5534.14,0.14,307.45,27,2,6,14,20,47,37,9,false
56,9,7,8,189,1087.67,0.06,17.23,63.13,18740.32,0.36,1041.13,37,7,10,17,37,114,75,17,false
18,2,1,2,28,118.94,0.19,5.4,22.03,642.29,0.04,35.68,9,3,4,9,10,16,12,3,true
17,3,1,2,26,108.42,0.13,8,13.55,867.34,0.04,48.19,12,0,3,12,6,18,8,5,false
36,9,9,2,165,906.16,0.09,11.38,79.66,10307.52,0.3,572.64,29,1,1,13,32,109,56,17,false
58,8,8,8,129,695.61,0.05,20.63,33.73,14346.93,0.23,797.05,45,1,10,18,24,74,55,15,false
34,6,4,4,96,507.4,0.07,14.68,34.56,7449.53,0.17,413.86,23,4,5,17,22,58,38,11,false
21,2,1,2,45,208.97,0.09,11.38,18.37,2377.07,0.07,132.06,15,0,4,13,12,24,21,3,false
26,4,1,3,61,275.94,0.06,16.9,16.32,4663.34,0.09,259.07,18,4,2,13,10,35,26,7,false
26,4,3,2,68,345.95,0.11,9,38.44,3113.53,0.12,172.97,22,0,2,12,22,35,33,7,false
15,2,1,2,29,113.3,0.12,8.25,13.73,934.72,0.04,51.93,8,4,1,9,6,18,11,3,false
155,23,8,8,534,3491.91,0.02,54.15,64.48,189081.51,1.16,10504.53,125,9,21,29,64,295,239,45,true
36,10,8,6,116,625.51,0.04,23,27.2,14386.7,0.21,799.26,25,4,5,21,21,70,46,19,true
39,6,1,1,80,371.51,0.05,19.73,18.83,7328.85,0.12,407.16,28,3,5,14,11,49,31,11,false
127,16,10,9,462,3042.25,0.02,42,72.43,127774.61,1.01,7098.59,105,3,11,28,68,258,204,31,true
70,9,5,8,216,1157.23,0.03,38,30.45,43974.79,0.39,2443.04,54,7,7,19,22,128,88,16,true
20,12,7,5,368,1984.37,0.02,56,35.44,111124.88,0.66,6173.6,11,0,3,24,18,284,84,23,false
75,9,7,5,292,1731.78,0.04,28.26,61.29,48932.72,0.58,2718.48,65,1,9,18,43,157,135,17,false
486,23,1,21,2443,16335.12,0.01,114.75,142.35,1874505.53,5.45,104139.2,439,0,44,22,81,1598,845,45,false
17,5,4,5,39,173.92,0.09,10.8,16.1,1878.31,0.06,104.35,11,2,2,12,10,21,18,9,false
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
18,3,3,2,48,225.62,0.1,10,22.56,2256.21,0.08,125.35,14,0,2,13,13,28,20,5,false
7,3,3,2,17,60.94,0.17,6,10.16,365.67,0.02,20.31,5,0,0,8,4,11,6,5,false
9,1,1,1,25,83.05,0.25,4,20.76,332.19,0.03,18.46,5,0,1,4,6,13,12,1,false
32,1,1,1,64,285.4,0.11,9.17,31.13,2616.2,0.1,145.34,17,7,6,10,12,42,22,1,false
27,3,1,3,54,264.97,0.11,9.19,28.84,2434.43,0.09,135.25,22,0,2,14,16,33,21,5,true
13,3,1,3,29,118.54,0.14,7.31,16.21,866.8,0.04,48.16,10,0,1,9,8,16,13,5,false
56,6,1,4,166,822.4,0.05,18.33,44.86,15077.27,0.27,837.63,47,6,1,10,21,89,77,11,false
8,1,1,1,38,148.46,0.14,7,21.21,1039.23,0.05,57.74,6,0,0,7,8,22,16,1,false
7,2,1,1,15,51.89,0.21,4.8,10.81,249.08,0.02,13.84,4,0,1,6,5,7,8,3,false
51,3,1,1,174,827.35,0.04,24.06,34.38,19908.12,0.28,1106.01,33,6,6,11,16,104,70,5,false
255,37,9,33,567,3822.41,0.02,49.6,77.06,189602.1,1.27,10533.45,208,2,43,34,73,354,213,60,false
126,64,61,45,694,4527.35,0.02,52.59,86.09,238097.56,1.51,13227.64,91,6,17,26,66,427,267,127,true
12,2,1,2,19,65.73,0.28,3.6,18.26,236.63,0.02,13.15,10,0,0,6,5,13,6,3,false
15,4,1,2,55,267.19,0.09,11.69,22.85,3124.06,0.09,173.56,8,0,5,16,13,36,19,7,false
20,4,3,2,55,267.19,0.11,8.82,30.28,2357.55,0.09,130.97,14,0,4,12,17,30,25,7,false
27,6,1,3,86,421.99,0.05,19.5,21.64,8228.86,0.14,457.16,23,0,2,15,15,47,39,11,false
27,4,3,2,82,406.24,0.06,17.6,23.08,7149.9,0.14,397.22,18,0,7,16,15,49,33,7,true
383,31,7,23,1265,8992.28,0.02,53.94,166.72,485006.88,3,26944.83,253,74,54,21,117,664,601,61,true
4,1,1,1,8,16,0.86,1.17,13.71,18.67,0.01,1.04,2,0,0,1,3,1,7,1,false
14,3,1,3,44,196.21,0.15,6.58,29.83,1290.49,0.07,71.69,12,0,0,9,13,25,19,5,false
17,6,6,3,92,455.79,0.08,12.95,35.2,5901.23,0.15,327.85,10,0,2,12,19,51,41,11,false
196,37,21,26,1177,9135.35,0.01,71.54,127.7,653537.1,3.05,36307.62,14,170,155,52,165,723,454,71,true
27,2,1,2,31,124,0.15,6.5,19.08,806,0.04,44.78,11,11,3,8,8,18,13,3,false
4,2,1,1,16,62.51,0.25,4,15.63,250.04,0.02,13.89,2,0,0,8,7,9,7,3,false
18,1,1,1,58,281.76,0.22,4.57,61.64,1288.06,0.09,71.56,13,0,3,8,21,34,24,1,false
41,7,1,4,105,546.99,0.04,24.28,22.53,13279.76,0.18,737.76,28,11,2,19,18,59,46,13,false
27,2,1,1,54,253.82,0.08,12.5,20.31,3172.8,0.08,176.27,15,3,6,13,13,29,25,3,false
17,4,1,1,33,134.89,0.08,11.92,11.32,1607.39,0.04,89.3,13,0,2,11,6,20,13,7,false
53,8,1,7,127,743.96,0.07,14.47,51.4,10767.89,0.25,598.22,48,0,5,20,38,72,55,15,false
42,7,1,5,149,808.51,0.04,26.96,29.99,21794.71,0.27,1210.82,33,3,3,20,23,87,62,13,true
81,12,6,9,201,1172.41,0.07,13.59,86.26,15934.13,0.39,885.23,63,6,8,13,44,109,92,23,true
30,2,1,2,46,208.08,0.11,9.17,22.7,1907.44,0.07,105.97,17,7,4,11,12,26,20,3,false
34,6,6,2,151,725.91,0.02,65,11.17,47184.19,0.24,2621.34,25,3,4,20,8,99,52,11,false
15,4,4,2,28,121.01,0.12,8.36,14.48,1011.33,0.04,56.19,11,0,2,13,7,19,9,7,true
9,2,1,2,14,42,0.5,2,21,84,0.01,4.67,7,0,0,4,4,10,4,3,false
27,4,1,4,62,284.27,0.11,8.93,31.84,2538.1,0.09,141.01,19,1,4,10,14,37,25,7,false
36,4,1,1,66,306.49,0.05,19.73,15.54,6046.3,0.1,335.91,21,4,5,14,11,35,31,7,false
123,28,9,3,280,1721.93,0.02,44.72,38.5,77011.02,0.57,4278.39,101,0,20,33,38,177,103,46,true
11,2,1,1,17,58.81,0.28,3.6,16.34,211.72,0.02,11.76,9,0,0,6,5,11,6,3,false
6,1,1,1,21,69.76,0.3,3.33,20.93,232.53,0.02,12.92,3,0,1,4,7,13,11,1,false
14,2,1,2,34,141.78,0.11,9.38,15.12,1329.16,0.05,73.84,10,0,1,10,8,19,15,3,false
10,2,1,2,22,83.76,0.17,6,13.96,502.57,0.03,27.92,8,0,0,8,6,13,9,3,false
4,1,1,1,15,55.51,0.2,5,11.1,277.53,0.02,15.42,2,0,0,10,3,12,3,1,false
19,2,1,2,77,377.83,0.07,14.88,25.4,5620.23,0.13,312.23,13,0,4,14,16,43,34,3,false
23,2,1,2,42,195.04,0.11,9.21,21.18,1796.01,0.07,99.78,17,0,3,13,12,25,17,3,false
139,11,11,11,321,1974.07,0.04,26.27,75.13,51867.69,0.66,2881.54,75,28,32,20,51,187,134,21,false
19,4,1,4,52,224.74,0.06,16.71,13.45,3756.37,0.07,208.69,15,0,2,13,7,34,18,7,false
21,3,1,3,107,514.39,0.06,17.5,29.39,9001.77,0.17,500.1,15,2,0,14,14,72,35,5,false
11,2,1,2,32,138.3,0.17,6,23.05,829.81,0.05,46.1,7,0,2,10,10,20,12,3,false
25,6,6,6,77,398.08,0.07,13.87,28.7,5520.8,0.13,306.71,21,0,2,17,19,46,31,11,false
11,3,3,2,27,116.69,0.15,6.72,17.36,784.43,0.04,43.58,6,1,2,11,9,16,11,5,true
10,2,1,1,36,158.12,0.15,6.82,23.19,1078.11,0.05,59.9,6,0,1,10,11,21,15,3,false
21,3,1,3,214,1207.79,0.04,26.67,45.29,32207.61,0.4,1789.31,1,10,7,20,30,134,80,5,false
8,2,1,1,15,49.83,0.17,5.83,8.54,290.67,0.02,16.14,4,1,1,7,3,10,5,3,false
17,3,1,2,40,172.88,0.09,11,15.72,1901.65,0.06,105.65,12,0,3,11,9,22,18,5,false
18,1,1,1,45,203.56,0.12,8.25,24.67,1679.37,0.07,93.3,12,0,1,11,12,27,18,1,false
24,5,4,4,68,326.9,0.1,9.71,33.68,3172.85,0.11,176.27,12,0,6,11,17,38,30,9,true
130,22,14,13,289,1670.81,0.03,37.68,44.35,62950.34,0.56,3497.24,106,1,21,21,37,189,133,43,false
25,5,1,5,53,239.75,0.11,9.17,26.15,2197.7,0.08,122.09,19,0,4,11,12,33,20,6,false
19,2,1,2,59,292.3,0.14,7.26,40.24,2123,0.1,117.94,14,0,1,12,19,36,23,3,false
138,20,18,15,444,2622.66,0.03,30.73,85.35,80587.17,0.87,4477.07,128,0,8,16,44,275,169,39,false
5,1,1,1,20,78.14,0.19,5.25,14.88,410.22,0.03,22.79,4,1,0,9,6,13,7,1,false
80,8,1,4,326,1810.8,0.04,27.91,64.87,50542.51,0.6,2807.92,66,0,12,13,34,180,146,15,false
3,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,5,2,5,2,1,false
28,9,3,7,133,692.86,0.03,29.84,23.22,20676.32,0.23,1148.68,21,0,4,18,19,70,63,17,false
9,2,1,2,12,36,0.17,6,6,216,0.01,12,6,0,1,6,2,8,4,3,false
72,16,11,5,220,1283.24,0.03,29.86,42.98,38313.75,0.43,2128.54,60,1,9,23,35,128,95,31,false
48,8,1,8,113,574.88,0.07,13.65,42.12,7847.16,0.19,435.95,43,1,2,14,20,74,39,15,false
32,6,1,5,68,323.33,0.08,12.07,26.78,3903.08,0.11,216.84,19,7,3,13,14,42,26,11,false
4,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,4,0,0,4,1,4,1,1,false
29,3,1,2,83,435.58,0.06,16.2,26.89,7056.36,0.15,392.02,21,0,6,18,20,47,36,5,false
74,10,1,2,107,580.61,0.07,13.68,42.44,7942.75,0.19,441.26,58,1,13,18,25,69,38,11,false
4,2,1,1,15,55.51,0.33,3,18.5,166.52,0.02,9.25,2,0,0,6,7,8,7,3,false
74,11,1,11,124,636.03,0.04,26.13,24.35,16616.31,0.21,923.13,60,0,12,19,16,80,44,12,false
22,1,1,1,14,50.19,0.91,1.1,45.63,55.21,0.02,3.07,11,0,1,2,10,3,11,1,true
7,2,1,2,34,141.78,0.18,5.6,25.32,793.95,0.05,44.11,4,0,1,8,10,20,14,3,false
9,3,3,3,41,180.09,0.13,8,22.51,1440.68,0.06,80.04,7,0,0,12,9,29,12,5,false
17,2,1,2,41,190.4,0.16,6.29,30.29,1196.79,0.06,66.49,10,1,3,11,14,25,16,3,false
29,5,1,2,111,569.35,0.05,20.78,27.4,11829.84,0.19,657.21,0,17,6,17,18,67,44,9,false
26,7,7,2,53,252.01,0.05,20,12.6,5040.18,0.08,280.01,15,6,3,18,9,33,20,13,false
17,3,1,2,22,88,0.17,5.79,15.21,509.14,0.03,28.29,10,3,2,9,7,13,9,5,false
28,6,1,6,95,487.28,0.07,14.63,33.32,7126.5,0.16,395.92,28,0,0,15,20,56,39,7,false
17,3,1,1,30,114.22,0.09,10.8,10.58,1233.58,0.04,68.53,13,0,2,9,5,18,12,5,false
114,15,1,8,364,2084.96,0.02,42.69,48.84,88998.14,0.69,4944.34,79,10,23,18,35,198,166,29,false
423,16,1,15,1922,14534.63,0.02,57,254.99,828473.91,4.84,46026.33,392,4,24,21,168,1010,912,31,false
45,6,1,6,165,906.16,0.06,16,56.63,14498.49,0.3,805.47,34,0,5,16,29,107,58,11,true
21,3,1,3,38,174.23,0.08,12.5,13.94,2177.86,0.06,120.99,15,0,3,15,9,23,15,5,false
5,1,1,1,14,44.38,0.27,3.75,11.83,166.42,0.01,9.25,3,0,0,5,4,8,6,1,false
21,1,1,1,52,208,0.1,10.29,20.22,2139.43,0.07,118.86,15,0,4,9,7,36,16,1,false
29,4,1,4,68,307.6,0.06,17.89,17.2,5502.66,0.1,305.7,20,2,5,14,9,45,23,7,false
11,1,1,1,23,89.86,0.13,8,11.23,718.87,0.03,39.94,6,1,1,10,5,15,8,1,false
233,23,11,22,709,4345.66,0.02,47.11,92.24,204728.95,1.45,11373.83,194,7,30,16,54,391,318,45,false
41,4,1,4,129,704.27,0.06,16,44.02,11268.27,0.23,626.01,36,0,2,16,28,73,56,7,false
24,4,1,4,50,235.02,0.12,8.5,27.65,1997.69,0.08,110.98,20,0,4,13,13,33,17,7,false
14,1,1,1,46,208.08,0.2,5.07,41.07,1054.29,0.07,58.57,9,0,3,8,15,27,19,1,false
308,47,13,26,1036,7834.48,0.02,54.2,144.54,424664.6,2.61,23592.48,267,7,23,35,154,559,477,84,true
41,5,1,3,111,573.86,0.05,19,30.2,10903.37,0.19,605.74,28,2,6,18,18,73,38,9,true
5,1,1,1,12,41.51,0.25,4,10.38,166.05,0.01,9.23,3,0,0,8,3,9,3,1,false
40,4,1,4,102,495.51,0.09,11.61,42.68,5753.47,0.17,319.64,29,1,7,11,18,64,38,7,false
128,2,1,2,683,4840.74,0.11,9.22,524.75,44654.86,1.61,2480.83,102,3,21,7,129,343,340,3,false
9,2,1,1,53,232.79,0.06,17.06,13.64,3972.03,0.08,220.67,2,2,5,13,8,32,21,3,false
78,11,1,2,116,640.73,0.07,14.43,44.42,9243.17,0.21,513.51,63,0,13,19,27,75,41,12,false
9,3,3,1,24,101.95,0.15,6.86,14.87,699.09,0.03,38.84,6,0,1,12,7,16,8,5,false
11,1,1,1,14,50.19,0.24,4.2,11.95,210.8,0.02,11.71,4,4,1,7,5,8,6,1,false
19,1,1,1,54,240.81,0.15,6.67,36.12,1605.4,0.08,89.19,10,1,5,10,12,38,16,1,false
39,9,9,5,208,1233.59,0.03,35.34,34.9,43599.82,0.41,2422.21,29,0,8,29,32,130,78,17,true
15,2,1,2,28,106.61,0.15,6.67,15.99,710.71,0.04,39.48,10,0,2,8,6,18,10,3,false
23,2,1,2,53,246.12,0.12,8.64,28.48,2127.22,0.08,118.18,17,0,2,11,14,31,22,3,false
106,12,5,9,288,1759.26,0.03,34.94,50.35,61473.97,0.59,3415.22,76,17,10,25,44,165,123,22,true
14,3,1,3,32,140.55,0.2,5,28.11,702.77,0.05,39.04,9,1,2,10,11,21,11,5,false
28,3,1,3,76,361.37,0.04,24.73,14.61,8935.73,0.12,496.43,17,1,6,16,11,42,34,5,false
37,5,3,1,84,427.35,0.08,12.95,33,5534.14,0.14,307.45,27,2,6,14,20,47,37,9,false
56,9,7,8,189,1087.67,0.06,17.23,63.13,18740.32,0.36,1041.13,37,7,10,17,37,114,75,17,false
18,2,1,2,28,118.94,0.19,5.4,22.03,642.29,0.04,35.68,9,3,4,9,10,16,12,3,true
17,3,1,2,26,108.42,0.13,8,13.55,867.34,0.04,48.19,12,0,3,12,6,18,8,5,false
8,2,1,2,25,108.05,0.18,5.5,19.65,594.27,0.04,33.01,6,0,0,10,10,14,11,3,false
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
7,1,1,1,18,68.53,0.22,4.5,15.23,308.4,0.02,17.13,4,0,1,9,5,13,5,1,false
47,6,1,5,75,393.59,0.08,12.6,31.24,4959.29,0.13,275.52,28,11,6,18,20,47,28,9,false
49,2,1,2,81,401.29,0.13,7.57,53.02,3037.03,0.13,168.72,22,18,7,9,22,44,37,3,false
5,3,3,1,16,57.36,0.17,6,9.56,344.16,0.02,19.12,3,0,0,8,4,10,6,5,false
27,1,1,1,50,226.18,0.14,7.31,30.95,1652.84,0.08,91.82,9,11,5,10,13,31,19,1,false
27,1,1,1,130,666.81,0.08,12,55.57,8001.68,0.22,444.54,17,0,5,12,23,84,46,1,false
44,8,1,1,119,530.67,0.02,50.36,10.54,26723.14,0.18,1484.62,27,10,2,15,7,72,47,15,false
9,2,1,2,15,53.77,0.24,4.2,12.8,225.85,0.02,12.55,7,0,0,7,5,9,6,3,false
21,7,7,3,86,404.24,0.07,13.93,29.01,5632.38,0.13,312.91,18,0,1,11,15,48,38,13,true
8,4,4,3,25,100,0.17,5.79,17.28,578.57,0.03,32.14,5,0,1,9,7,16,9,7,false
43,4,1,3,137,708.28,0.06,17.86,39.66,12647.85,0.24,702.66,30,0,11,15,21,87,50,7,true
513,82,8,76,1359,10159.52,0.01,140.64,72.24,1428851.32,3.39,79380.63,452,4,54,65,113,870,489,127,true
11,2,1,2,29,110.41,0.11,9,12.27,993.72,0.04,55.21,9,0,0,9,5,19,10,3,false
20,5,4,3,72,360,0.09,11.29,31.89,4064.21,0.12,225.79,17,0,1,13,19,39,33,9,false
20,1,1,1,59,241.16,0.08,12.14,19.86,2928.38,0.08,162.69,9,0,9,10,7,42,17,1,false
127,30,8,5,690,4697.07,0.03,36.21,129.72,170066.5,1.57,9448.14,7,39,5,25,87,438,252,59,false
29,4,1,3,100,535.76,0.08,12.4,43.19,6645.43,0.18,369.19,19,5,3,15,26,57,43,7,true
14,2,1,2,29,110.41,0.14,7.33,15.06,809.7,0.04,44.98,10,0,2,8,6,18,11,3,false
7,1,1,1,27,102.8,0.13,8,12.85,822.39,0.03,45.69,2,1,3,8,6,15,12,1,false
41,8,6,6,187,1113.43,0.07,14.8,75.22,16481.41,0.37,915.63,1,9,2,19,43,120,67,15,false
57,4,1,4,267,1499.13,0.04,22.93,65.37,34375.83,0.5,1909.77,41,2,12,13,36,140,127,7,false
26,5,5,3,61,299.32,0.07,13.71,21.83,4104.96,0.1,228.05,14,7,3,16,14,37,24,9,false
44,4,1,4,103,536.57,0.1,9.84,54.53,5279.89,0.18,293.33,38,0,1,12,25,62,41,7,false
36,3,1,2,78,352.84,0.07,13.85,25.48,4885.45,0.12,271.41,18,6,10,10,13,42,36,5,false
11,1,1,1,23,82.45,0.14,7,11.78,577.18,0.03,32.07,0,0,5,8,4,16,7,1,false
49,13,12,7,162,850.16,0.04,23.15,36.72,19683.15,0.28,1093.51,35,3,4,15,23,91,71,25,false
27,3,1,1,68,288.86,0.05,19.25,15.01,5560.54,0.1,308.92,18,3,3,11,8,40,28,5,false
13,2,1,2,23,87.57,0.21,4.67,18.76,408.66,0.03,22.7,9,0,2,8,6,16,7,3,false
71,10,1,7,130,650,0.04,27.2,23.9,17680,0.22,982.22,49,14,5,17,15,82,48,19,false
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,1.2,1.2,1.2,1.2,1.4,false
18,1,1,1,74,325.03,0.07,13.75,23.64,4469.18,0.11,248.29,12,0,4,11,10,49,25,1,false
21,3,1,3,61,249.34,0.08,12.38,20.15,3085.52,0.08,171.42,16,0,3,9,8,39,22,5,true
6,1,1,1,9,28.53,0.33,3,9.51,85.59,0.01,4.75,2,0,2,6,3,6,3,1,false
6,1,1,1,22,83.76,0.5,2,41.88,167.52,0.03,9.31,6,0,0,4,10,12,10,1,false
14,2,1,2,22,88,0.17,5.79,15.21,509.14,0.03,28.29,8,0,1,9,7,13,9,3,false
30,2,1,2,151,852.22,0.07,14.68,58.05,12512.17,0.28,695.12,0,6,5,17,33,94,57,3,false
31,4,4,3,85,449.26,0.09,11.56,38.85,5194.56,0.15,288.59,24,0,5,15,24,48,37,7,false
16,3,1,2,25,97.67,0.18,5.71,17.09,558.13,0.03,31.01,11,0,3,8,7,15,10,5,false
172,35,23,20,393,2587.89,0.04,27.99,92.45,72442.7,0.86,4024.59,130,21,17,25,71,234,159,69,true
16,3,1,2,31,140.23,0.07,13.71,10.23,1923.16,0.05,106.84,9,2,1,16,7,19,12,5,false
69,14,9,10,184,1058.9,0.05,20.29,52.18,21489.43,0.35,1193.86,42,10,11,20,34,115,69,27,true
13,2,1,1,21,77.71,0.13,7.88,9.87,611.96,0.03,34,8,0,3,9,4,14,7,3,true
11,2,1,2,30,129.66,0.19,5.32,24.38,689.54,0.04,38.31,6,1,1,9,11,17,13,3,false
13,1,1,1,29,113.3,0.25,4,28.32,453.2,0.04,25.18,8,1,2,6,9,17,12,1,false
176,25,1,22,760,4577,0.01,89.28,51.27,408630.26,1.53,22701.68,153,1,19,22,43,411,349,43,false
29,1,1,1,73,354.63,0.11,9.17,38.69,3250.8,0.12,180.6,20,0,7,11,18,43,30,1,true
20,3,1,3,41,180.09,0.11,9.33,19.29,1680.79,0.06,93.38,14,0,4,12,9,27,14,5,true
62,11,11,11,176,936.66,0.05,21.8,42.96,20423.25,0.31,1134.62,53,1,6,17,23,117,59,21,false
90,14,1,13,235,1312.47,0.02,40.83,32.14,53592.37,0.44,2977.35,76,0,12,21,27,130,105,25,false
7,1,1,1,15,51.89,0.5,2,25.95,103.78,0.02,5.77,4,0,1,4,7,8,7,1,false
16,1,1,1,43,175.76,0.16,6.27,28.02,1102.5,0.06,61.25,14,0,1,6,11,20,23,1,true
9,1,1,1,15,38.77,0.25,4,9.69,155.1,0.01,8.62,5,0,1,4,2,11,4,1,false
26,4,1,4,80,376.04,0.11,8.89,42.3,3342.53,0.13,185.7,19,0,5,8,18,40,40,7,false
19,4,3,2,55,264.4,0.09,11.54,22.92,3050.82,0.09,169.49,14,0,3,15,13,35,20,7,false
41,4,1,3,133,665,0.03,29.47,22.57,19595.33,0.22,1088.63,22,10,7,17,15,81,52,7,true
33,3,1,2,60,291.48,0.1,9.75,29.9,2841.92,0.1,157.88,17,5,8,13,16,36,24,5,false
44,1,1,1,129,676.98,0.12,8.4,80.59,5686.65,0.23,315.93,34,1,7,8,30,66,63,1,false
140,18,10,18,376,2304.61,0.04,27.6,83.5,63607.25,0.77,3533.74,124,8,6,20,50,238,138,35,true
13,3,3,2,38,178.62,0.11,9.33,19.14,1667.09,0.06,92.62,9,0,2,14,12,22,16,5,false
56,6,6,4,101,463.08,0.02,40.83,11.34,18909.15,0.15,1050.51,28,24,1,15,9,52,49,11,false
