@relation bugset3

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute T numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defect {false,true}

@data
5,2,1,2,9,27,0.22,4.5,6,121.5,0.01,6.75,3,0,0,6,2,6,3,3,false
43,2,1,2,138,734.43,0.1,9.73,75.51,7142.89,0.24,396.83,25,1,9,9,31,71,67,3,true
10,1,1,1,19,60.23,0.28,3.6,16.73,216.82,0.02,12.05,7,0,1,4,5,10,9,1,false
9,2,1,1,16,62.51,0.22,4.5,13.89,281.3,0.02,15.63,4,1,2,9,6,10,6,3,false
13,2,1,2,22,76.11,0.19,5.4,14.09,410.98,0.03,22.83,11,0,0,6,5,13,9,3,false
7,1,1,1,12,41.51,0.33,3,13.84,124.54,0.01,6.92,4,1,0,6,5,7,5,1,false
11,2,1,2,19,65.73,0.16,6.13,10.73,402.59,0.02,22.37,9,0,0,7,4,12,7,3,true
168,26,22,20,564,4026.71,0.04,25.33,158.95,102009.91,1.34,5667.22,138,9,20,24,117,317,247,51,true
44,3,1,2,102,523.19,0.04,23.16,22.59,12115.05,0.17,673.06,31,7,3,19,16,63,39,5,true
13,3,3,2,35,158.32,0.12,8.18,19.35,1295.38,0.05,71.97,9,0,2,12,11,20,15,5,true
16,5,1,2,55,229.35,0.06,17.29,13.27,3964.41,0.08,220.24,12,0,2,11,7,33,22,9,false
56,5,1,4,178,988.72,0.08,13.19,74.95,13042.34,0.33,724.57,48,1,5,13,34,109,69,9,true
13,3,3,2,28,121.01,0.13,7.5,16.14,907.6,0.04,50.42,8,0,3,12,8,18,10,5,false
299,68,1,68,775,6080.25,0.01,69.28,87.76,421241.6,2.02,23402.31,266,4,27,73,157,477,298,81,true
14,1,1,1,49,196,0.36,2.77,70.78,542.77,0.07,30.15,0,0,0,3,13,25,24,1,false
5,1,1,1,12,39.86,0.4,2.5,15.95,99.66,0.01,5.54,5,0,0,5,5,7,5,1,false
171,15,11,4,257,1442.98,0.03,34.14,42.27,49260.37,0.48,2736.69,69,25,75,20,29,158,99,29,false
21,4,1,2,60,294.41,0.1,10.32,28.52,3039.39,0.1,168.85,15,0,4,13,17,33,27,7,false
31,4,3,2,41,187.98,0.11,9,20.89,1691.85,0.06,93.99,14,8,7,12,12,23,18,7,true
9,1,1,1,16,53.15,0.27,3.75,14.17,199.32,0.02,11.07,5,0,2,6,4,11,5,1,false
59,7,7,5,136,728.63,0.06,17.28,42.17,12590.68,0.24,699.48,44,2,8,16,25,82,54,13,true
49,3,1,1,131,701.84,0.06,17.88,39.24,12552.13,0.23,697.34,29,6,11,15,26,69,62,5,false
20,2,1,2,84,434.27,0.11,9.25,46.95,4017.03,0.14,223.17,14,0,4,12,24,47,37,3,true
12,2,1,2,15,45,0.33,3,15,135,0.02,7.5,7,2,1,4,4,9,6,3,false
4,1,1,1,11,38.05,0.29,3.5,10.87,133.19,0.01,7.4,2,0,0,7,4,7,4,1,false
44,3,1,3,92,451.43,0.06,17,26.55,7674.38,0.15,426.35,35,1,5,15,15,58,34,5,false
54,6,1,6,132,733.21,0.06,15.83,46.32,11604.88,0.24,644.72,45,0,7,18,29,81,51,11,false
7,2,1,2,8,20.68,0.2,5,4.14,103.4,0.01,5.74,5,0,0,5,1,6,2,3,false
28,4,1,1,59,270.51,0.09,11.42,23.68,3090.09,0.09,171.67,22,0,1,11,13,32,27,7,false
14,2,1,2,27,105.49,0.16,6.29,16.78,663.06,0.04,36.84,6,2,4,8,7,16,11,3,true
7,1,1,1,11,36.54,0.4,2.5,14.62,91.35,0.01,5.08,3,0,0,5,5,6,5,1,false
6,2,1,2,14,48.43,0.28,3.6,13.45,174.36,0.02,9.69,4,0,0,6,5,8,6,3,false
5,1,1,1,7,18.09,0.5,2,9.05,36.19,0.01,2,3,0,0,4,2,5,2,1,false
16,2,1,2,43,191.76,0.18,5.43,35.32,1040.96,0.06,57.83,13,0,1,8,14,24,19,3,true
18,2,1,2,30,122.62,0.12,8.57,14.31,1051.06,0.04,58.39,13,0,3,10,7,18,12,3,true
47,5,1,3,113,609.33,0.05,20.45,29.79,12463.61,0.2,692.42,29,9,7,20,22,68,45,8,false
14,2,1,2,32,130.8,0.14,7.31,17.89,956.47,0.04,53.14,9,0,3,9,8,19,13,3,false
40,5,1,4,81,412.08,0.1,9.55,43.17,3933.53,0.14,218.53,30,0,1,12,22,46,35,9,false
191,24,16,15,630,4203.63,0.03,38.15,110.18,160384.57,1.4,8910.25,126,26,35,24,78,382,248,47,false
13,3,1,3,38,164.23,0.14,7.33,22.4,1204.38,0.05,66.91,2,0,0,11,9,26,12,5,true
11,2,1,2,18,64.53,0.14,7,9.22,451.71,0.02,25.09,7,0,1,8,4,11,7,3,false
35,1,1,1,138,762.25,0.08,12.25,62.22,9337.58,0.25,518.75,25,0,8,14,32,82,56,1,true
33,3,1,3,75,390.71,0.16,6.11,63.93,2387.67,0.13,132.65,25,0,3,10,27,42,33,5,false
25,1,1,1,61,279.68,0.11,9.5,29.44,2656.99,0.09,147.61,12,4,6,12,12,42,19,1,false
14,3,3,1,35,151.27,0.08,13,11.64,1966.48,0.05,109.25,11,0,3,13,7,21,14,5,false
16,1,1,1,103,551.83,0.17,6.06,91.05,3344.41,0.18,185.8,14,0,0,8,33,53,50,1,false
149,20,1,18,702,5081.36,0.03,29.58,171.78,150305.78,1.69,8350.32,0,62,10,32,119,482,220,37,true
28,2,1,2,60,278.63,0.12,8.33,33.44,2321.93,0.09,129,21,0,5,10,15,35,25,3,false
8,1,1,1,21,79.95,0.21,4.67,17.13,373.12,0.03,20.73,5,0,1,8,6,14,7,1,false
27,4,1,3,49,211.77,0.12,8.59,24.65,1819.34,0.07,101.07,19,0,6,9,11,28,21,7,false
113,14,8,12,265,1558.9,0.05,20.44,76.27,31864.67,0.52,1770.26,85,9,15,17,42,164,101,27,true
205,26,16,19,491,3179.59,0.02,49.32,64.47,156823.6,1.06,8712.42,171,9,16,30,59,297,194,51,true
200,52,13,37,1334,9292.36,0.01,99.31,93.57,922860.63,3.1,51270.04,188,5,5,39,86,896,438,92,true
60,7,4,6,173,986.18,0.04,23.83,41.38,23503.86,0.33,1305.77,54,1,3,22,30,108,65,13,false
29,2,1,2,51,204,0.09,11,18.55,2244,0.07,124.67,19,6,2,8,8,29,22,3,true
16,3,3,2,43,188.87,0.1,10,18.89,1888.7,0.06,104.93,12,0,2,12,9,28,15,5,false
88,13,5,5,353,2050,0.02,55.76,36.77,114302.82,0.68,6350.16,60,9,12,23,33,193,160,25,false
9,2,1,1,14,48.43,0.34,2.92,16.61,141.26,0.02,7.85,6,0,1,5,6,7,7,3,false
48,5,5,4,125,665.24,0.06,18,36.96,11974.34,0.22,665.24,36,4,2,18,22,81,44,9,false
85,6,1,6,187,1060.74,0.06,17.14,61.88,18184.17,0.35,1010.23,56,17,7,16,35,112,75,11,false
30,4,1,3,83,380.55,0.06,16.07,23.67,6118.1,0.13,339.89,25,0,3,11,13,45,38,7,false
21,2,1,2,109,524,0.07,13.89,37.73,7277.8,0.17,404.32,17,1,1,10,18,59,50,3,false
32,6,6,3,93,484.48,0.05,18.95,25.57,9179.61,0.16,509.98,24,0,6,18,19,53,40,11,true
9,1,1,1,14,46.51,0.27,3.75,12.4,174.4,0.02,9.69,4,2,1,6,4,9,5,1,false
17,2,1,2,83,422.26,0.1,9.8,43.07,4139.97,0.14,230,15,0,2,11,23,42,41,3,false
14,3,1,2,35,151.27,0.1,9.78,15.47,1479.06,0.05,82.17,10,0,2,11,9,19,16,5,false
105,16,14,11,294,1743.64,0.03,31.5,55.35,54924.56,0.58,3051.36,87,3,12,21,40,174,120,31,true
56,4,1,4,102,523.19,0.07,14.25,36.71,7455.41,0.17,414.19,41,3,3,15,20,64,38,7,false
33,5,5,5,91,474.06,0.06,17.53,27.05,8308.53,0.16,461.58,23,5,3,18,19,54,37,9,false
65,8,8,5,192,1138.7,0.05,19.16,59.42,21820.37,0.38,1212.24,42,10,11,21,40,119,73,15,false
6,1,1,1,11,36.54,0.33,3,12.18,109.62,0.01,6.09,0,0,0,6,4,7,4,1,false
24,8,5,5,39,148.49,0.07,13.5,11,2004.57,0.05,111.37,17,4,1,9,5,24,15,15,false
20,3,1,2,40,172.88,0.13,8,21.61,1383.02,0.06,76.83,14,0,4,10,10,24,16,5,false
51,8,1,6,123,717.45,0.07,14.32,50.09,10276.92,0.24,570.94,47,0,4,20,37,70,53,15,false
112,19,11,15,348,2206.27,0.04,24.75,89.13,54614.17,0.74,3034.12,93,2,10,20,61,197,151,37,true
64,11,1,11,177,954.44,0.06,18.15,52.58,17326.76,0.32,962.6,58,2,2,16,26,118,59,21,true
22,2,1,2,47,206.44,0.15,6.46,31.95,1333.91,0.07,74.11,13,0,4,8,13,26,21,3,false
6,1,1,1,23,79.57,0.32,3.14,25.32,250.07,0.03,13.89,3,0,0,4,7,12,11,1,false
7,2,1,1,18,68.53,0.16,6.25,10.97,428.33,0.02,23.8,5,0,0,10,4,13,5,3,false
8,1,1,1,13,44.97,0.19,5.33,8.43,239.85,0.01,13.33,6,0,0,8,3,9,4,1,false
42,7,1,7,263,1633.09,0.1,10.16,160.8,16586.02,0.54,921.45,1,0,4,10,64,133,130,13,false
13,2,1,2,20,80,0.15,6.6,12.12,528,0.03,29.33,8,0,3,11,5,14,6,3,false
28,4,1,4,121,630.34,0.04,24.81,25.41,15636.03,0.21,868.67,19,3,4,19,18,74,47,7,false
4,1,1,1,10,33.22,0.33,3,11.07,99.66,0.01,5.54,2,0,0,6,4,6,4,1,true
4,1,1,1,16,59.21,0.33,3,19.74,177.62,0.02,9.87,2,0,0,6,7,9,7,1,false
23,4,4,1,81,397.46,0.05,18.31,21.71,7276.54,0.13,404.25,17,0,3,17,13,53,28,7,false
40,5,1,5,121,599.46,0.07,14.53,41.27,8707.91,0.2,483.77,32,1,3,12,19,75,46,9,false
16,6,6,2,61,267.93,0.05,21.25,12.61,5693.54,0.09,316.31,13,0,1,15,6,44,17,11,false
27,5,5,2,54,244.27,0.13,7.79,31.35,1903.29,0.08,105.74,22,0,0,11,12,37,17,9,false
37,4,3,4,82,420.6,0.11,8.94,47.06,3759.12,0.14,208.84,22,8,5,11,24,43,39,7,false
21,3,1,3,82,406.24,0.12,8.39,48.44,3406.91,0.14,189.27,14,0,5,9,22,41,41,5,false
12,3,1,3,45,187.65,0.15,6.8,27.6,1276,0.06,70.89,9,0,1,8,10,28,17,5,false
10,1,1,1,36,147.15,0.12,8.44,17.44,1241.57,0.05,68.98,6,0,2,9,8,21,15,1,false
24,5,3,4,129,724.3,0.04,24.87,29.12,18012.97,0.24,1000.72,19,0,3,26,23,85,44,9,true
25,3,1,3,74,347.83,0.08,12.86,27.05,4472.13,0.12,248.45,21,0,4,12,14,44,30,5,false
57,9,1,7,213,1318.43,0.03,29.27,45.05,38588.27,0.44,2143.79,6,7,6,32,41,138,75,15,true
67,11,7,4,194,1111.22,0.05,19.54,56.86,21716.35,0.37,1206.46,56,1,8,18,35,118,76,21,true
59,3,1,1,99,427.87,0.05,22,19.45,9413.16,0.14,522.95,32,14,11,11,9,63,36,5,false
52,3,1,3,119,641.69,0.08,13,49.36,8341.92,0.21,463.44,32,11,7,14,28,67,52,5,false
44,11,1,1,94,500.26,0.08,12.57,39.81,6285.89,0.17,349.22,36,0,3,17,23,60,34,12,true
15,6,1,5,44,179.85,0.23,4.36,41.22,784.79,0.06,43.6,13,0,0,6,11,28,16,11,false
13,1,1,1,27,112.59,0.1,10,11.26,1125.88,0.04,62.55,7,0,4,12,6,17,10,1,false
85,32,12,10,589,4031.99,0.02,51.47,78.34,207526.23,1.34,11529.23,53,27,156,32,83,322,267,63,false
24,3,1,3,50,219.62,0.11,9,24.4,1976.54,0.07,109.81,15,1,4,9,12,26,24,5,false
21,3,3,1,37,159.91,0.12,8.56,18.69,1368.13,0.05,76.01,15,0,2,11,9,23,14,5,false
23,11,11,11,126,646.29,0.05,21.47,30.1,13878.22,0.22,771.01,20,0,1,16,19,75,51,21,false
127,23,6,9,558,3442.82,0.02,64.29,53.55,221324.02,1.15,12295.78,102,7,16,30,42,378,180,45,false
24,3,1,3,47,206.44,0.13,7.5,27.53,1548.29,0.07,86.02,14,4,4,9,12,27,20,5,true
591,88,44,51,1865,14322.23,0.01,67.29,212.86,963681.5,4.77,53537.86,442,69,75,30,175,1080,785,175,true
37,6,4,2,76,361.37,0.04,24.73,14.61,8935.73,0.12,496.43,19,6,4,16,11,42,34,11,false
22,2,1,2,34,149.34,0.14,7.15,20.89,1067.77,0.05,59.32,12,3,5,11,10,21,13,3,false
53,6,4,5,131,706.39,0.06,17.25,40.95,12185.29,0.24,676.96,39,2,9,18,24,85,46,11,false
20,6,1,3,58,265.93,0.06,15.4,17.27,4095.29,0.09,227.52,16,0,2,14,10,36,22,11,false
23,4,1,4,50,216.1,0.2,4.93,43.85,1065.05,0.07,59.17,20,0,0,6,14,27,23,7,false
18,4,1,1,65,285.5,0.03,30,9.52,8565.02,0.1,475.83,13,0,3,14,7,35,30,7,false
24,5,1,3,197,1075.51,0.03,39.72,27.08,42716.37,0.36,2373.13,2,20,14,21,23,110,87,9,false
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
12,1,1,1,38,164.23,0.13,7.94,20.67,1304.74,0.05,72.49,7,0,3,11,9,25,13,1,false
39,4,1,3,100,490.69,0.05,21.14,23.21,10374.57,0.16,576.36,30,0,6,16,14,63,37,7,false
22,3,1,3,69,335.2,0.11,9.17,36.57,3072.67,0.11,170.7,17,0,3,11,18,39,30,5,false
9,1,1,1,22,85.95,0.19,5.14,16.71,442.04,0.03,24.56,5,0,2,8,7,13,9,1,false
38,6,1,4,62,272.32,0.08,12.1,22.51,3295.12,0.09,183.06,27,0,9,11,10,40,22,10,true
22,2,1,1,98,510.53,0.08,12.78,39.94,6525.86,0.17,362.55,15,0,5,14,23,56,42,3,false
192,9,7,9,1296,9072,0.02,51.3,176.85,465360,3.02,25853.33,174,1,15,20,108,742,554,17,false
27,5,4,5,63,288.85,0.07,14.7,19.65,4246.13,0.1,235.9,19,3,3,14,10,42,21,9,false
177,25,21,13,446,2811.49,0.02,44.21,63.59,124304.14,0.94,6905.79,101,47,22,25,54,255,191,48,false
44,13,1,1,69,374.41,0.11,9.36,40,3504.5,0.12,194.69,30,0,12,18,25,43,26,14,false
89,5,1,5,334,2004,0.04,27.13,73.87,54363.83,0.67,3020.21,61,0,26,17,47,184,150,9,true
28,3,1,2,68,303.24,0.08,13,23.33,3942.14,0.1,219.01,23,0,3,11,11,42,26,5,false
11,2,1,2,19,76,0.22,4.5,16.89,342,0.03,19,8,0,1,9,7,12,7,3,false
31,5,1,5,55,255.41,0.11,8.77,29.13,2239.77,0.09,124.43,27,0,2,12,13,36,19,9,true
25,2,1,2,64,314.04,0.14,7.25,43.32,2276.8,0.1,126.49,19,0,4,10,20,35,29,3,false
26,4,1,2,85,394.73,0.05,19.5,20.24,7697.19,0.13,427.62,20,0,3,13,12,49,36,7,false
32,3,3,2,83,399.01,0.05,19,21,7581.2,0.13,421.18,15,12,5,14,14,45,38,5,false
19,5,1,1,62,267.96,0.05,21,12.76,5627.15,0.09,312.62,15,0,2,12,8,34,28,9,true
234,23,16,15,637,4104.16,0.02,59.4,69.09,243786.81,1.37,13543.71,134,81,17,27,60,373,264,45,true
107,10,6,5,377,2302.91,0.03,32.38,71.13,74556.83,0.77,4142.05,78,9,16,21,48,229,148,19,true
9,2,1,1,16,62.51,0.22,4.5,13.89,281.3,0.02,15.63,4,1,2,9,6,10,6,3,false
13,2,1,2,22,76.11,0.19,5.4,14.09,410.98,0.03,22.83,11,0,0,6,5,13,9,3,false
7,1,1,1,12,41.51,0.33,3,13.84,124.54,0.01,6.92,4,1,0,6,5,7,5,1,false
11,2,1,2,19,65.73,0.16,6.13,10.73,402.59,0.02,22.37,9,0,0,7,4,12,7,3,true
168,26,22,20,564,4026.71,0.04,25.33,158.95,102009.91,1.34,5667.22,138,9,20,24,117,317,247,51,true
44,3,1,2,102,523.19,0.04,23.16,22.59,12115.05,0.17,673.06,31,7,3,19,16,63,39,5,true
13,3,3,2,35,158.32,0.12,8.18,19.35,1295.38,0.05,71.97,9,0,2,12,11,20,15,5,true
16,5,1,2,55,229.35,0.06,17.29,13.27,3964.41,0.08,220.24,12,0,2,11,7,33,22,9,false
56,5,1,4,178,988.72,0.08,13.19,74.95,13042.34,0.33,724.57,48,1,5,13,34,109,69,9,true
13,3,3,2,28,121.01,0.13,7.5,16.14,907.6,0.04,50.42,8,0,3,12,8,18,10,5,false
299,68,1,68,775,6080.25,0.01,69.28,87.76,421241.6,2.02,23402.31,266,4,27,73,157,477,298,81,true
14,1,1,1,49,196,0.36,2.77,70.78,542.77,0.07,30.15,0,0,0,3,13,25,24,1,false
5,1,1,1,12,39.86,0.4,2.5,15.95,99.66,0.01,5.54,5,0,0,5,5,7,5,1,false
171,15,11,4,257,1442.98,0.03,34.14,42.27,49260.37,0.48,2736.69,69,25,75,20,29,158,99,29,false
21,4,1,2,60,294.41,0.1,10.32,28.52,3039.39,0.1,168.85,15,0,4,13,17,33,27,7,false
31,4,3,2,41,187.98,0.11,9,20.89,1691.85,0.06,93.99,14,8,7,12,12,23,18,7,true
9,1,1,1,16,53.15,0.27,3.75,14.17,199.32,0.02,11.07,5,0,2,6,4,11,5,1,false
119,16,12,10,418,2634.98,0.02,48.59,54.23,128029.05,0.88,7112.72,93,6,18,28,51,241,177,30,false
15,1,1,1,44,199.04,0.14,6.92,28.75,1377.95,0.07,76.55,10,0,3,10,13,26,18,1,false
29,7,3,6,112,587.77,0.04,22.5,26.12,13224.78,0.2,734.71,23,0,4,18,20,62,50,13,false
33,9,9,1,79,322.91,0.06,15.71,20.55,5074.29,0.11,281.91,29,0,1,10,7,57,22,17,false
15,2,1,2,28,109.39,0.16,6.29,17.4,687.61,0.04,38.2,10,1,2,8,7,17,11,3,false
17,3,1,3,31,124,0.2,5,24.8,620,0.04,34.44,11,0,4,8,8,21,10,5,true
103,5,1,4,396,2435.3,0.03,28.65,85.01,69766.83,0.81,3875.94,87,0,14,17,54,214,182,9,false
24,6,6,2,72,346.13,0.06,17.33,19.97,5999.58,0.12,333.31,0,0,3,16,12,46,26,11,false
53,6,4,5,147,741.53,0.06,16,46.35,11864.41,0.25,659.13,38,4,8,12,21,91,56,11,true
95,15,14,10,424,2846.84,0.03,28.74,99.05,81820.29,0.95,4545.57,73,12,10,24,81,230,194,29,false
18,2,1,1,52,235.23,0.11,9.17,25.66,2156.23,0.08,119.79,13,0,2,11,12,32,20,3,false
20,4,1,1,38,158.46,0.12,8.13,19.5,1287.46,0.05,71.53,18,0,0,10,8,25,13,5,false
13,2,1,2,15,49.83,0.33,3,16.61,149.49,0.02,8.3,9,0,1,6,4,11,4,3,false
7,1,1,1,26,101.58,0.16,6.29,16.16,638.5,0.03,35.47,5,0,0,8,7,15,11,1,false
21,2,1,1,35,175,0.12,8.5,20.59,1487.5,0.06,82.64,19,0,0,17,15,20,15,3,false
11,3,3,2,47,228.33,0.09,11.08,20.61,2529.14,0.08,140.51,8,0,1,16,13,29,18,5,false
3,1,1,1,14,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0,0,0,7,4,9,5,1,false
143,13,12,12,486,3155.04,0.04,26.57,118.74,83833.94,1.05,4657.44,81,31,24,20,70,300,186,25,true
135,29,13,29,519,3125.61,0.03,36.77,85.01,114916,1.04,6384.22,126,2,3,18,47,327,192,57,false
84,7,5,5,426,2593.26,0.03,39.94,64.93,103571.6,0.86,5753.98,79,0,5,19,49,220,206,13,false
17,3,1,3,24,88.81,0.23,4.29,20.72,380.62,0.03,21.15,11,2,2,6,7,14,10,5,false
35,5,3,4,83,415,0.09,10.61,39.13,4401.18,0.14,244.51,25,3,5,13,19,52,31,9,true
64,1,1,1,167,869.98,0.04,26.53,32.8,23077.33,0.29,1282.07,37,23,2,18,19,111,56,25,false
4,1,1,1,5,11.61,0.5,2,5.8,23.22,0,1.29,2,0,0,4,1,4,1,1,false
74,12,4,5,193,1135.35,0.05,19.92,57,22614.95,0.38,1256.39,56,5,8,22,37,126,67,19,false
22,2,1,2,66,317.29,0.1,9.71,32.68,3079.54,0.11,171.09,16,0,4,11,17,36,30,3,true
130,14,6,11,336,1951.27,0.05,22,88.69,42927.97,0.65,2384.89,104,4,18,14,42,204,132,27,true
38,2,1,2,163,867.47,0.05,21.67,40.04,18795.28,0.29,1044.18,26,3,7,16,24,98,65,3,false
15,6,5,3,197,1048.42,0.03,31.12,33.69,32624.36,0.35,1812.46,10,0,2,23,17,151,46,11,false
50,8,7,6,140,764.32,0.06,16.69,45.81,12752.83,0.25,708.49,31,9,8,17,27,87,53,15,false
37,2,1,1,137,713.7,0.07,14.61,48.85,10426.15,0.24,579.23,29,0,6,14,23,89,48,3,false
14,3,1,2,56,274.79,0.11,8.79,31.25,2416.5,0.09,134.25,8,0,4,13,17,33,23,5,true
93,7,1,7,247,1498.32,0.05,21.91,68.37,32835.61,0.5,1824.2,69,6,16,20,47,144,103,13,true
29,3,1,3,80,371.51,0.06,17.18,21.62,6383.19,0.12,354.62,20,0,7,14,11,53,27,5,false
42,5,1,3,107,535,0.05,19.85,26.95,10621.32,0.18,590.07,26,6,8,15,17,62,45,9,true
41,5,1,5,117,595.23,0.08,12.2,48.81,7259.26,0.2,403.29,31,5,3,11,23,66,51,9,true
49,4,1,3,122,615.42,0.04,22.84,26.94,14058.41,0.21,781.02,33,7,7,17,16,79,43,7,false
25,4,1,3,152,803.38,0.04,22.61,35.53,18163.4,0.27,1009.08,22,0,1,16,23,87,65,6,false
572,273,1,2,1644,15938.96,0.01,140.51,113.44,2239582.39,5.31,124421.27,552,13,5,280,549,1093,551,274,true
5,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,1,0,4,3,4,3,1,false
37,2,1,2,142,728.36,0.1,9.78,74.49,7121.72,0.24,395.65,32,0,2,8,27,76,66,3,false
16,5,4,5,71,351.75,0.09,10.83,32.47,3810.6,0.12,211.7,10,0,4,13,18,41,30,9,false
33,9,5,4,107,544.36,0.06,16.58,32.83,9024.89,0.18,501.38,20,5,6,15,19,65,42,17,false
6,1,1,1,9,27,0.5,2,13.5,54,0.01,3,3,0,1,4,4,5,4,1,false
19,3,1,3,48,210.83,0.1,10.45,20.17,2204.14,0.07,122.45,12,2,3,10,11,25,23,5,false
123,8,4,6,390,2531.82,0.04,27.5,92.07,69625.12,0.84,3868.06,91,10,20,22,68,220,170,15,true
18,4,4,1,72,325.7,0.04,25.31,12.87,8244.19,0.11,458.01,15,0,1,15,8,45,27,7,true
21,2,1,2,105,525,0.04,23,22.83,12075,0.18,670.83,6,6,3,16,16,59,46,3,false
14,2,1,2,29,116,0.12,8.36,13.88,969.43,0.04,53.86,8,0,3,9,7,16,13,3,true
11,2,1,1,16,53.15,0.17,5.83,9.11,310.05,0.02,17.22,9,0,0,7,3,11,5,3,false
84,15,10,5,227,1260.89,0.03,30.88,40.84,38930.03,0.42,2162.78,67,9,3,19,28,136,91,29,false
50,6,1,5,146,806.44,0.06,17.33,46.53,13978.29,0.27,776.57,37,1,9,16,30,81,65,11,false
44,5,1,3,108,566.78,0.08,12.74,44.49,7220.73,0.19,401.15,32,3,7,13,25,59,49,9,false
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
33,5,1,2,109,572.02,0.05,20.7,27.63,11840.9,0.19,657.83,27,0,4,18,20,63,46,9,false
17,3,3,2,42,184.48,0.13,7.7,23.96,1420.48,0.06,78.92,11,0,4,11,10,28,14,5,true
6,1,1,1,25,89.62,0.13,8,11.2,716.99,0.03,39.83,4,0,0,8,4,17,8,1,false
18,2,1,1,62,287.92,0.08,12.46,23.11,3586.99,0.1,199.28,12,0,4,13,12,39,23,3,false
12,3,1,2,22,88,0.12,8.33,10.56,733.33,0.03,40.74,9,0,1,10,6,12,10,5,false
42,5,1,5,62,267.96,0.08,12.83,20.88,3438.81,0.09,191.05,17,20,3,11,9,41,21,9,false
17,3,1,3,53,252.01,0.08,12.92,19.5,3256.73,0.08,180.93,10,2,3,14,13,29,24,5,false
